Model,Team,Condition,Harm,Metric,trials,mean,sd,se,ci,Format,Cases,Grading,Type,Model1,Model2,Model3,Provider,Label,Exclude
Claude 3.7 Sonnet,Solo Models,Advisor,All,Escalation,10,0.642,0.019,0.006,0.012,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,NA,NA,Anthropic,NA,NA
Claude Haiku 4.5,Solo Models,Advisor,All,Escalation,20,0.687,0.032,0.007,0.014,NO,AllCases,Unanimous,AllHarm,Claude Haiku 4.5,NA,NA,Anthropic,NA,NA
Claude Sonnet 4.5,Solo Models,Advisor,All,Escalation,20,0.64,0.027,0.006,0.012,NO,AllCases,Unanimous,AllHarm,Claude Sonnet 4.5,NA,NA,Anthropic,NA,NA
DeepSeek R1,Solo Models,Advisor,All,Escalation,20,0.756,0.026,0.006,0.011,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,NA,NA,DeepSeek,NA,NA
DeepSeek V3.1,Solo Models,Advisor,All,Escalation,15,0.765,0.04,0.01,0.02,NO,AllCases,Unanimous,AllHarm,DeepSeek V3.1,NA,NA,DeepSeek,NA,NA
GPT-4.1,Solo Models,Advisor,All,Escalation,20,0.724,0.03,0.007,0.013,NO,AllCases,Unanimous,AllHarm,GPT-4.1,NA,NA,OpenAI,NA,NA
GPT-4.1 mini,Solo Models,Advisor,All,Escalation,20,0.527,0.025,0.006,0.011,NO,AllCases,Unanimous,AllHarm,GPT-4.1 mini,NA,NA,OpenAI,NA,NA
GPT-4o,Solo Models,Advisor,All,Escalation,20,0.81,0.04,0.009,0.018,NO,AllCases,Unanimous,AllHarm,GPT-4o,NA,NA,OpenAI,NA,NA
GPT-4o mini,Solo Models,Advisor,All,Escalation,10,0.722,0.024,0.007,0.015,NO,AllCases,Unanimous,AllHarm,GPT-4o mini,NA,NA,OpenAI,NA,NA
GPT-5,Solo Models,Advisor,All,Escalation,20,0.678,0.037,0.008,0.016,NO,AllCases,Unanimous,AllHarm,GPT-5,NA,NA,OpenAI,NA,NA
GPT-5 mini,Solo Models,Advisor,All,Escalation,20,0.54,0.05,0.011,0.022,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,NA,NA,OpenAI,NA,NA
GPT-5 nano,Solo Models,Advisor,All,Escalation,10,0.568,0.036,0.011,0.023,NO,AllCases,Unanimous,AllHarm,GPT-5 nano,NA,NA,OpenAI,NA,NA
Gemini 2.0 Flash,Solo Models,Advisor,All,Escalation,10,0.693,0.033,0.01,0.02,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,NA,NA,Google,NA,NA
Gemini 2.5 Flash,Solo Models,Advisor,All,Escalation,20,0.823,0.03,0.007,0.013,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,NA,NA,Google,NA,NA
Gemini 2.5 Pro,Solo Models,Advisor,All,Escalation,20,0.733,0.03,0.007,0.013,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,NA,NA,Google,NA,NA
Gemini 3 Pro,Solo Models,Advisor,All,Escalation,20,0.6,0.054,0.012,0.024,NO,AllCases,Unanimous,AllHarm,Gemini 3 Pro,NA,NA,Google,NA,NA
Glass Health 4.0,Solo Models,Advisor,All,Escalation,13,0.711,0.045,0.013,0.025,NO,AllCases,Unanimous,AllHarm,Glass Health 4.0,NA,NA,Glass Health,NA,NA
Grok 4,Solo Models,Advisor,All,Escalation,15,0.755,0.027,0.007,0.014,NO,AllCases,Unanimous,AllHarm,Grok 4,NA,NA,xAI,NA,NA
Grok 4 Fast,Solo Models,Advisor,All,Escalation,15,0.751,0.038,0.01,0.019,NO,AllCases,Unanimous,AllHarm,Grok 4 Fast,NA,NA,xAI,NA,NA
Kimi K2,Solo Models,Advisor,All,Escalation,15,0.82,0.037,0.01,0.019,NO,AllCases,Unanimous,AllHarm,Kimi K2,NA,NA,Moonshot AI,NA,NA
LiSA 1.0,Solo Models,Advisor,All,Escalation,20,0.731,0.037,0.008,0.016,NO,AllCases,Unanimous,AllHarm,LiSA 1.0,NA,NA,AMBOSS,NA,NA
Llama 3.3 70b,Solo Models,Advisor,All,Escalation,10,0.76,0.045,0.014,0.028,NO,AllCases,Unanimous,AllHarm,Llama 3.3 70b,NA,NA,Meta,NA,NA
Llama 4 Maverick,Solo Models,Advisor,All,Escalation,20,0.758,0.029,0.007,0.013,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,NA,NA,Meta,NA,NA
Llama 4 Scout,Solo Models,Advisor,All,Escalation,20,0.76,0.018,0.004,0.008,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,NA,NA,Meta,NA,NA
Mistral Large 2.1,Solo Models,Advisor,All,Escalation,15,0.689,0.067,0.017,0.034,NO,AllCases,Unanimous,AllHarm,Mistral Large 2.1,NA,NA,Mistral AI,NA,NA
Mistral Medium 3.1,Solo Models,Advisor,All,Escalation,15,0.617,0.057,0.015,0.029,NO,AllCases,Unanimous,AllHarm,Mistral Medium 3.1,NA,NA,Mistral AI,NA,NA
Qwen3 235B,Solo Models,Advisor,All,Escalation,5,0.776,0.038,0.017,0.033,NO,AllCases,Unanimous,AllHarm,Qwen3 235B,NA,NA,Alibaba,NA,NA
Qwen3 32B,Solo Models,Advisor,All,Escalation,13,0.714,0.043,0.012,0.023,NO,AllCases,Unanimous,AllHarm,Qwen3 32B,NA,NA,Alibaba,NA,NA
o1,Solo Models,Advisor,All,Escalation,10,0.6,0.023,0.007,0.014,NO,AllCases,Unanimous,AllHarm,o1,NA,NA,OpenAI,NA,NA
o1 mini,Solo Models,Advisor,All,Escalation,10,0.76,0.022,0.007,0.013,NO,AllCases,Unanimous,AllHarm,o1 mini,NA,NA,OpenAI,NA,NA
o3 mini,Solo Models,Advisor,All,Escalation,20,0.384,0.04,0.009,0.018,NO,AllCases,Unanimous,AllHarm,o3 mini,NA,NA,OpenAI,NA,NA
o4 mini,Solo Models,Advisor,All,Escalation,10,0.35,0.035,0.011,0.022,NO,AllCases,Unanimous,AllHarm,o4 mini,NA,NA,OpenAI,NA,NA
Claude 3.7 Sonnet + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,All,F1,3,0.619,0.002,0.001,0.002,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Claude 3.7 Sonnet,NA,Anthropic + Anthropic,NA,NA
Claude 3.7 Sonnet + DeepSeek R1,2-Agent Teams,Advisor + Guardian,All,F1,3,0.633,0.005,0.003,0.005,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,DeepSeek R1,NA,Anthropic + DeepSeek,NA,NA
Claude 3.7 Sonnet + GPT-4.1,2-Agent Teams,Advisor + Guardian,All,F1,3,0.456,0.014,0.008,0.016,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,GPT-4.1,NA,Anthropic + OpenAI,NA,NA
Claude 3.7 Sonnet + GPT-5,2-Agent Teams,Advisor + Guardian,All,F1,3,0.664,0.006,0.004,0.007,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,GPT-5,NA,Anthropic + OpenAI,NA,NA
Claude 3.7 Sonnet + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,F1,3,0.645,0.008,0.004,0.009,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,GPT-5 mini,NA,Anthropic + OpenAI,NA,NA
Claude 3.7 Sonnet + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,F1,3,0.608,0.006,0.003,0.006,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Gemini 2.0 Flash,NA,Anthropic + Google,NA,NA
Claude 3.7 Sonnet + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,F1,3,0.636,0.004,0.002,0.004,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Gemini 2.5 Pro,NA,Anthropic + Google,NA,NA
Claude 3.7 Sonnet + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,F1,3,0.611,0.007,0.004,0.008,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Llama 4 Maverick,NA,Anthropic + Meta,NA,NA
Claude 3.7 Sonnet + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,All,F1,3,0.604,0.005,0.003,0.005,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Llama 4 Scout,NA,Anthropic + Meta,NA,NA
Claude 3.7 Sonnet + o3 mini,2-Agent Teams,Advisor + Guardian,All,F1,3,0.622,0.008,0.005,0.009,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,o3 mini,NA,Anthropic + OpenAI,NA,NA
Claude Sonnet 4.5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,F1,5,0.639,0.023,0.01,0.02,NO,AllCases,Unanimous,AllHarm,Claude Sonnet 4.5,Gemini 2.5 Pro,NA,Anthropic + Google,NA,NA
Claude Sonnet 4.5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,All,F1,10,0.656,0.007,0.002,0.004,NO,AllCases,Unanimous,AllHarm,Claude Sonnet 4.5,LiSA 1.0,NA,Anthropic + AMBOSS,NA,NA
DeepSeek R1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,All,F1,5,0.626,0.004,0.002,0.004,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Claude 3.7 Sonnet,NA,DeepSeek + Anthropic,NA,NA
DeepSeek R1 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,All,F1,8,0.617,0.008,0.003,0.005,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,DeepSeek R1,NA,DeepSeek + DeepSeek,NA,NA
DeepSeek R1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,F1,3,0.628,0.003,0.002,0.004,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,GPT-5 mini,NA,DeepSeek + OpenAI,NA,NA
DeepSeek R1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,F1,8,0.592,0.007,0.002,0.005,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.0 Flash,NA,DeepSeek + Google,NA,NA
DeepSeek R1 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,All,F1,10,0.612,0.006,0.002,0.004,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.5 Flash,NA,DeepSeek + Google,NA,NA
DeepSeek R1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,F1,10,0.612,0.012,0.004,0.008,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.5 Pro,NA,DeepSeek + Google,NA,NA
DeepSeek R1 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,All,F1,10,0.637,0.005,0.002,0.003,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,LiSA 1.0,NA,DeepSeek + AMBOSS,NA,NA
DeepSeek R1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,F1,10,0.599,0.009,0.003,0.006,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Llama 4 Maverick,NA,DeepSeek + Meta,NA,NA
DeepSeek R1 + o3 mini,2-Agent Teams,Advisor + Guardian,All,F1,10,0.608,0.007,0.002,0.004,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,o3 mini,NA,DeepSeek + OpenAI,NA,NA
GPT-4.1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,All,F1,3,0.604,0.006,0.004,0.007,NO,AllCases,Unanimous,AllHarm,GPT-4.1,Claude 3.7 Sonnet,NA,OpenAI + Anthropic,NA,NA
GPT-4.1 + GPT-4.1,2-Agent Teams,Advisor + Guardian,All,F1,3,0.407,0.016,0.009,0.018,NO,AllCases,Unanimous,AllHarm,GPT-4.1,GPT-4.1,NA,OpenAI + OpenAI,NA,NA
GPT-4.1 + GPT-5,2-Agent Teams,Advisor + Guardian,All,F1,3,0.654,0.005,0.003,0.006,NO,AllCases,Unanimous,AllHarm,GPT-4.1,GPT-5,NA,OpenAI + OpenAI,NA,NA
GPT-4.1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,F1,3,0.625,0.003,0.002,0.004,NO,AllCases,Unanimous,AllHarm,GPT-4.1,GPT-5 mini,NA,OpenAI + OpenAI,NA,NA
GPT-4.1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,F1,3,0.565,0.005,0.003,0.005,NO,AllCases,Unanimous,AllHarm,GPT-4.1,Gemini 2.0 Flash,NA,OpenAI + Google,NA,NA
GPT-4.1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,F1,3,0.607,0.009,0.005,0.011,NO,AllCases,Unanimous,AllHarm,GPT-4.1,Gemini 2.5 Pro,NA,OpenAI + Google,NA,NA
GPT-4.1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,F1,3,0.56,0.008,0.005,0.009,NO,AllCases,Unanimous,AllHarm,GPT-4.1,Llama 4 Maverick,NA,OpenAI + Meta,NA,NA
GPT-4.1 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,All,F1,3,0.555,0.008,0.005,0.009,NO,AllCases,Unanimous,AllHarm,GPT-4.1,Llama 4 Scout,NA,OpenAI + Meta,NA,NA
GPT-4.1 + o3 mini,2-Agent Teams,Advisor + Guardian,All,F1,3,0.577,0.009,0.005,0.01,NO,AllCases,Unanimous,AllHarm,GPT-4.1,o3 mini,NA,OpenAI + OpenAI,NA,NA
GPT-5 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,All,F1,3,0.673,0.004,0.002,0.004,NO,AllCases,Unanimous,AllHarm,GPT-5,DeepSeek R1,NA,OpenAI + DeepSeek,NA,NA
GPT-5 + GPT-4.1,2-Agent Teams,Advisor + Guardian,All,F1,3,0.429,0.011,0.006,0.012,NO,AllCases,Unanimous,AllHarm,GPT-5,GPT-4.1,NA,OpenAI + OpenAI,NA,NA
GPT-5 + GPT-5,2-Agent Teams,Advisor + Guardian,All,F1,8,0.671,0.01,0.003,0.007,NO,AllCases,Unanimous,AllHarm,GPT-5,GPT-5,NA,OpenAI + OpenAI,NA,NA
GPT-5 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,F1,3,0.669,0.007,0.004,0.008,NO,AllCases,Unanimous,AllHarm,GPT-5,GPT-5 mini,NA,OpenAI + OpenAI,NA,NA
GPT-5 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,F1,3,0.669,0.002,0.001,0.003,NO,AllCases,Unanimous,AllHarm,GPT-5,Gemini 2.0 Flash,NA,OpenAI + Google,NA,NA
GPT-5 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,All,F1,3,0.675,0.009,0.005,0.01,NO,AllCases,Unanimous,AllHarm,GPT-5,Gemini 2.5 Flash,NA,OpenAI + Google,NA,NA
GPT-5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,F1,3,0.653,0.016,0.009,0.018,NO,AllCases,Unanimous,AllHarm,GPT-5,Gemini 2.5 Pro,NA,OpenAI + Google,NA,NA
GPT-5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,All,F1,10,0.675,0.007,0.002,0.004,NO,AllCases,Unanimous,AllHarm,GPT-5,LiSA 1.0,NA,OpenAI + AMBOSS,NA,NA
GPT-5 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,F1,3,0.676,0.005,0.003,0.006,NO,AllCases,Unanimous,AllHarm,GPT-5,Llama 4 Maverick,NA,OpenAI + Meta,NA,NA
GPT-5 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,All,F1,3,0.638,0.009,0.005,0.01,NO,AllCases,Unanimous,AllHarm,GPT-5,Llama 4 Scout,NA,OpenAI + Meta,NA,NA
GPT-5 + o3 mini,2-Agent Teams,Advisor + Guardian,All,F1,3,0.674,0.006,0.003,0.007,NO,AllCases,Unanimous,AllHarm,GPT-5,o3 mini,NA,OpenAI + OpenAI,NA,NA
GPT-5 mini + GPT-4.1,2-Agent Teams,Advisor + Guardian,All,F1,5,0.415,0.039,0.017,0.034,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,GPT-4.1,NA,OpenAI + OpenAI,NA,NA
GPT-5 mini + GPT-5,2-Agent Teams,Advisor + Guardian,All,F1,3,0.669,0.009,0.005,0.01,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,GPT-5,NA,OpenAI + OpenAI,NA,NA
GPT-5 mini + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,F1,3,0.652,0.003,0.001,0.003,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,GPT-5 mini,NA,OpenAI + OpenAI,NA,NA
GPT-5 mini + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,F1,3,0.652,0.005,0.003,0.006,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,Gemini 2.0 Flash,NA,OpenAI + Google,NA,NA
GPT-5 mini + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,F1,3,0.641,0.002,0.001,0.002,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,Gemini 2.5 Pro,NA,OpenAI + Google,NA,NA
GPT-5 mini + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,All,F1,3,0.639,0.006,0.004,0.007,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,Llama 4 Scout,NA,OpenAI + Meta,NA,NA
GPT-5 mini + o3 mini,2-Agent Teams,Advisor + Guardian,All,F1,3,0.648,0.011,0.006,0.012,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,o3 mini,NA,OpenAI + OpenAI,NA,NA
Gemini 2.0 Flash + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,All,F1,9,0.598,0.004,0.001,0.002,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,Claude 3.7 Sonnet,NA,Google + Anthropic,NA,NA
Gemini 2.0 Flash + DeepSeek R1,2-Agent Teams,Advisor + Guardian,All,F1,3,0.603,0.006,0.003,0.007,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,DeepSeek R1,NA,Google + DeepSeek,NA,NA
Gemini 2.0 Flash + GPT-4.1,2-Agent Teams,Advisor + Guardian,All,F1,3,0.471,0.006,0.004,0.007,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,GPT-4.1,NA,Google + OpenAI,NA,NA
Gemini 2.0 Flash + GPT-5,2-Agent Teams,Advisor + Guardian,All,F1,3,0.662,0.008,0.005,0.009,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,GPT-5,NA,Google + OpenAI,NA,NA
Gemini 2.0 Flash + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,F1,3,0.617,0.006,0.004,0.007,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,GPT-5 mini,NA,Google + OpenAI,NA,NA
Gemini 2.0 Flash + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,F1,3,0.533,0.001,0.001,0.001,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,Gemini 2.0 Flash,NA,Google + Google,NA,NA
Gemini 2.0 Flash + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,F1,3,0.596,0.009,0.005,0.01,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,Gemini 2.5 Pro,NA,Google + Google,NA,NA
Gemini 2.0 Flash + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,F1,5,0.536,0.004,0.002,0.003,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,Llama 4 Maverick,NA,Google + Meta,NA,NA
Gemini 2.0 Flash + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,All,F1,3,0.525,0.006,0.003,0.007,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,Llama 4 Scout,NA,Google + Meta,NA,NA
Gemini 2.0 Flash + o3 mini,2-Agent Teams,Advisor + Guardian,All,F1,5,0.568,0.006,0.003,0.006,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,o3 mini,NA,Google + OpenAI,NA,NA
Gemini 2.5 Flash + DeepSeek R1,2-Agent Teams,Advisor + Guardian,All,F1,3,0.61,0.011,0.006,0.013,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,DeepSeek R1,NA,Google + DeepSeek,NA,NA
Gemini 2.5 Flash + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,F1,3,0.61,0.006,0.003,0.006,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,GPT-5 mini,NA,Google + OpenAI,NA,NA
Gemini 2.5 Flash + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,All,F1,10,0.589,0.004,0.001,0.002,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Gemini 2.5 Flash,NA,Google + Google,NA,NA
Gemini 2.5 Flash + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,F1,8,0.581,0.019,0.007,0.013,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Gemini 2.5 Pro,NA,Google + Google,NA,NA
Gemini 2.5 Flash + LiSA 1.0,2-Agent Teams,Advisor + Guardian,All,F1,10,0.625,0.005,0.002,0.003,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,LiSA 1.0,NA,Google + AMBOSS,NA,NA
Gemini 2.5 Flash + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,F1,10,0.582,0.005,0.001,0.003,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Llama 4 Maverick,NA,Google + Meta,NA,NA
Gemini 2.5 Pro + DeepSeek R1,2-Agent Teams,Advisor + Guardian,All,F1,3,0.643,0.004,0.002,0.005,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,DeepSeek R1,NA,Google + DeepSeek,NA,NA
Gemini 2.5 Pro + GPT-4.1,2-Agent Teams,Advisor + Guardian,All,F1,5,0.402,0.022,0.01,0.02,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,GPT-4.1,NA,Google + OpenAI,NA,NA
Gemini 2.5 Pro + GPT-5,2-Agent Teams,Advisor + Guardian,All,F1,3,0.674,0.005,0.003,0.005,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,GPT-5,NA,Google + OpenAI,NA,NA
Gemini 2.5 Pro + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,F1,10,0.65,0.006,0.002,0.004,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,GPT-5 mini,NA,Google + OpenAI,NA,NA
Gemini 2.5 Pro + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,F1,3,0.639,0.005,0.003,0.006,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,Gemini 2.0 Flash,NA,Google + Google,NA,NA
Gemini 2.5 Pro + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,F1,8,0.603,0.022,0.008,0.015,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,Gemini 2.5 Pro,NA,Google + Google,NA,NA
Gemini 2.5 Pro + LiSA 1.0,2-Agent Teams,Advisor + Guardian,All,F1,10,0.659,0.007,0.002,0.004,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,LiSA 1.0,NA,Google + AMBOSS,NA,NA
Gemini 2.5 Pro + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,F1,3,0.637,0.006,0.003,0.007,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,Llama 4 Maverick,NA,Google + Meta,NA,NA
Gemini 2.5 Pro + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,All,F1,3,0.634,0.01,0.006,0.011,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,Llama 4 Scout,NA,Google + Meta,NA,NA
Gemini 2.5 Pro + o3 mini,2-Agent Teams,Advisor + Guardian,All,F1,3,0.635,0.009,0.005,0.01,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,o3 mini,NA,Google + OpenAI,NA,NA
Llama 4 Maverick + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,All,F1,5,0.61,0.007,0.003,0.006,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,Claude 3.7 Sonnet,NA,Meta + Anthropic,NA,NA
Llama 4 Maverick + DeepSeek R1,2-Agent Teams,Advisor + Guardian,All,F1,3,0.611,0.007,0.004,0.008,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,DeepSeek R1,NA,Meta + DeepSeek,NA,NA
Llama 4 Maverick + GPT-4.1,2-Agent Teams,Advisor + Guardian,All,F1,3,0.49,0.023,0.013,0.026,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,GPT-4.1,NA,Meta + OpenAI,NA,NA
Llama 4 Maverick + GPT-5,2-Agent Teams,Advisor + Guardian,All,F1,3,0.668,0.01,0.006,0.011,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,GPT-5,NA,Meta + OpenAI,NA,NA
Llama 4 Maverick + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,F1,3,0.634,0.004,0.002,0.005,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,GPT-5 mini,NA,Meta + OpenAI,NA,NA
Llama 4 Maverick + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,F1,3,0.543,0.002,0.001,0.002,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,Gemini 2.0 Flash,NA,Meta + Google,NA,NA
Llama 4 Maverick + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,F1,3,0.597,0.007,0.004,0.008,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,Gemini 2.5 Pro,NA,Meta + Google,NA,NA
Llama 4 Maverick + LiSA 1.0,2-Agent Teams,Advisor + Guardian,All,F1,10,0.62,0.004,0.001,0.002,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,LiSA 1.0,NA,Meta + AMBOSS,NA,NA
Llama 4 Maverick + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,F1,8,0.544,0.004,0.001,0.003,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,Llama 4 Maverick,NA,Meta + Meta,NA,NA
Llama 4 Maverick + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,All,F1,3,0.536,0.006,0.003,0.007,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,Llama 4 Scout,NA,Meta + Meta,NA,NA
Llama 4 Maverick + o3 mini,2-Agent Teams,Advisor + Guardian,All,F1,3,0.582,0.008,0.005,0.009,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,o3 mini,NA,Meta + OpenAI,NA,NA
Llama 4 Scout + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,All,F1,3,0.6,0.014,0.008,0.016,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Claude 3.7 Sonnet,NA,Meta + Anthropic,NA,NA
Llama 4 Scout + DeepSeek R1,2-Agent Teams,Advisor + Guardian,All,F1,5,0.604,0.004,0.002,0.004,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,DeepSeek R1,NA,Meta + DeepSeek,NA,NA
Llama 4 Scout + GPT-4.1,2-Agent Teams,Advisor + Guardian,All,F1,3,0.492,0.005,0.003,0.006,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,GPT-4.1,NA,Meta + OpenAI,NA,NA
Llama 4 Scout + GPT-5,2-Agent Teams,Advisor + Guardian,All,F1,3,0.672,0.008,0.005,0.009,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,GPT-5,NA,Meta + OpenAI,NA,NA
